year,constituencyNumber,district,constituency,registeredVoters,validVotes,voterTurnout,awamiLeague,awamiLeaguePercentage,bangladeshNationalParty,bangladeshNationalPartyPercentage,jatiyaParty,jatiyaPartyPercentage,jamaatIslami,jamaatIslamiPercentage,others,othersPercentage,winner
1991,1,Panchaghar,Panchagarh-1,,122362,,38604,31.55,48678,39.78,11344,9.27,,,23736,19.40,BNP
1991,2,Panchaghar,Panchagarh-2,178844,108146,60.47,42335,39.15,17300,16.00,25660,23.73,14815,13.70,8036,7.43,AL
1991,3,Thakurgaon,Thakurgaon-1,216940,144850,66.77,57535,39.72,36406,25.13,21051,14.53,26800,18.50,3058,2.11,AL
1991,4,Thakurgaon,Thakurgaon-2,146417,96489,65.9,46452,48.14,17707,18.35,13720,14.22,17288,17.92,1322,1.37,AL
1991,5,Thakurgaon,Thakurgaon-3,172956,118927,68.76,50221,42.23,5107,4.29,38538,32.40,17841,15.00,7220,6.07,AL
1991,6,Dinajpur,Dinajpur-1,181927,116359,63.96,56191,48.29,13603,11.69,8203,7.05,35598,30.59,2764,2.38,AL
1991,7,Dinajpur,Dinajpur-2,173487,123925,71.43,49440,39.90,9316,7.52,32508,26.23,25766,20.79,6895,5.56,AL
1991,8,Dinajpur,Dinajpur-3,188046,118556,63.05,44784,37.77,25109,21.18,27318,23.04,18969,16.00,2376,2.00,AL
1991,9,Dinajpur,Dinajpur-4,192913,123856,64.2,58745,47.43,15566,12.57,9280,7.49,35538,28.69,4727,3.82,AL
1991,10,Dinajpur,Dinajpur-5,229468,144100,62.8,66533,46.17,13622,9.45,41039,28.48,17265,11.98,5641,3.91,AL
1991,11,Dinajpur,Dinajpur-6,260110,154375,59.35,37267,24.14,35255,22.84,7463,4.83,43989,28.49,30401,19.69,JIB
1991,12,Nilphamari,Nilphamari-1,,129936,,41218,31.72,1386,1.07,40492,31.16,22263,17.13,24577,18.91,AL
1991,13,Nilphamari,Nilphamari-2,,105394,,35216,33.41,13013,12.35,30154,28.61,25125,23.84,1886,1.79,AL
1991,14,Nilphamari,Nilphamari-3,,111464,,37131,33.31,5538,4.97,30046,26.96,28806,25.84,9943,8.92,AL
1991,14,Nilphamari,Nilphamari-3,,111464,,37131,33.31,5538,4.97,30046,26.96,28806,25.84,9943,8.92,AL
1991,15,Nilphamari,Nilphamari-4,,102987,,35112,34.09,12745,12.38,35009,33.99,13972,13.57,6149,5.97,AL
1991,15,Nilphamari,Nilphamari-4,,102987,,35112,34.09,12745,12.38,35009,33.99,13972,13.57,6149,5.97,AL
1991,16,Lalmonirhat,Lalmonirhat-1,,111066,,34384,30.96,2781,2.50,37203,33.50,19965,17.98,16733,15.07,JP
1991,17,Lalmonirhat,Lalmonirhat-2,,111791,,42413,37.94,6474,5.79,51755,46.30,8715,7.80,2434,2.18,JP
1991,18,Lalmonirhat,Lalmonirhat-3,,84939,,25356,29.85,21744,25.60,31205,36.74,3505,4.13,3129,3.68,JP
1991,19,Rangpur,Rangpur-1,163083,88547,54.3,20310,22.94,695,0.78,50004,56.47,15515,17.52,2023,2.28,JP
1991,20,Rangpur,Rangpur-2,188533,110647,58.69,45206,40.86,2308,2.09,50221,45.39,7676,6.94,5236,4.73,JP
1991,21,Rangpur,Rangpur-3,213218,127997,60.03,27938,21.83,6049,4.73,86114,67.28,5911,4.62,1985,1.55,JP
1991,22,Rangpur,Rangpur-4,240399,160754,66.87,39325,24.46,21191,13.18,76253,47.43,20956,13.04,3029,1.88,JP
1991,23,Rangpur,Rangpur-5,232297,141557,60.94,38810,27.42,3066,2.17,71132,50.25,25425,17.96,3124,2.21,JP
1991,24,Rangpur,Rangpur-6,164432,91721,55.78,34935,38.09,2705,2.95,35660,38.88,10095,11.01,8326,9.08,JP
1991,25,Kurigram,Kurigram-1,262029,119756,45.7,31630,26.41,13543,11.31,46476,38.81,25876,21.61,2231,1.86,JP
1991,26,Kurigram,Kurigram-2,275871,139762,50.66,44181,31.61,9176,6.57,59049,42.25,13284,9.50,14072,10.07,JP
1991,27,Kurigram,Kurigram-3,199104,86544,43.47,20547,23.74,2497,2.89,15799,18.26,2066,2.39,45635,52.73,Others
1991,28,Kurigram,Kurigram-4,184565,75272,40.78,10915,14.50,10169,13.51,21991,29.22,15854,21.06,16343,21.71,JP
1991,29,Gaibandha,Gaibandha-1,229998,104727,45.53,19660,18.77,4616,4.41,28776,27.48,22732,21.71,28943,27.64,Others
1991,30,Gaibandha,Gaibandha-2,204497,119056,58.22,25324,21.27,5221,4.39,49930,41.94,19137,16.07,19444,16.33,JP
1991,31,Gaibandha,Gaibandha-3,247854,138258,55.78,39872,28.84,4675,3.38,56869,41.13,32337,23.39,4505,3.26,JP
1991,32,Gaibandha,Gaibandha-4,222430,124488,55.97,21006,16.87,7724,6.20,44784,35.97,28052,22.53,22922,18.41,JP
1991,33,Gaibandha,Gaibandha-5,209114,110026,52.62,29258,26.59,15545,14.13,43816,39.82,17056,15.50,4351,3.95,JP
1991,34,Joypurhat,Joypurhat-1,,155518,,48091,30.92,48167,30.97,1592,1.02,43308,27.85,14360,9.23,BNP
1991,35,Joypurhat,Joypurhat-2,,118282,,33071,27.96,59692,50.47,2355,1.99,21133,17.87,2031,1.72,BNP
1991,36,Bogra,Bogra-1,258722,135195,52.25,17289,12.79,62644,46.34,6225,4.60,21521,15.92,27516,20.35,BNP
1991,37,Bogra,Bogra-2,,100009,,10958,10.96,24213,24.21,6144,6.14,33969,33.97,24725,24.72,JIB
1991,38,Bogra,Bogra-3,171203,117406,68.58,25051,21.34,40188,34.23,21898,18.65,29563,25.18,706,0.60,BNP
1991,39,Bogra,Bogra-4,172522,120165,69.65,31192,25.96,43247,35.99,8597,7.15,34372,28.60,2757,2.29,BNP
1991,40,Bogra,Bogra-5,282130,173861,61.62,63564,36.56,69388,39.91,,,40386,23.23,523,0.30,BNP
1991,41,Bogra,Bogra-6,272489,176032,64.6,27964,15.89,96234,54.67,896,0.51,48086,27.32,2852,1.62,BNP
1991,42,Bogra,Bogra-7,189186,125379,66.27,24760,19.75,83854,66.88,355,0.28,15440,12.31,970,0.77,BNP
1991,43,Nawabganj,Nawabganj-1,228425,174929,76.58,1593,0.91,65560,37.48,586,0.33,62945,35.98,44245,25.29,BNP
1991,44,Nawabganj,Nawabganj-2,189868,152545,80.34,38945,25.53,51581,33.81,930,0.61,37977,24.90,23112,15.15,BNP
1991,45,Nawabganj,Nawabganj-3,230454,165114,71.65,29455,17.84,44381,26.88,1625,0.98,58333,35.33,31320,18.97,JIB
1991,46,Naogaon,Naogaon-1,220144,141895,64.46,54803,38.62,37816,26.65,2783,1.96,41479,29.23,5014,3.53,AL
1991,47,Naogaon,Naogaon-2,183898,129067,70.18,51317,39.76,44040,34.12,816,0.63,30637,23.74,2257,1.75,AL
1991,48,Naogaon,Naogaon-3,235991,169265,71.73,64966,38.38,85785,50.68,1240,0.73,15538,9.18,1736,1.03,BNP
1991,49,Naogaon,Naogaon-4,164686,120154,72.96,45794,38.11,13100,10.90,1119,0.93,59801,49.77,340,0.28,JIB
1991,50,Naogaon,Naogaon-5,184036,135297,73.52,46184,34.14,85367,63.10,1639,1.21,,,2107,1.56,BNP
1991,51,Naogaon,Naogaon-6,177734,132969,74.81,46780,35.18,61183,46.01,3791,2.85,19911,14.97,1304,0.98,BNP
1991,52,Rajshahi,Rajshahi-1,193764,144382,74.51,42897,29.71,61975,42.92,2108,1.46,36058,24.97,1344,0.93,BNP
1991,53,Rajshahi,Rajshahi-2,250698,186689,74.47,24047,12.88,81014,43.40,2967,1.59,40141,21.50,38520,20.63,BNP
1991,54,Rajshahi,Rajshahi-3,223412,154407,69.11,37626,24.37,12157,7.87,49136,31.82,40463,26.21,15025,9.73,JP
1991,55,Rajshahi,Rajshahi-4,161731,123841,76.57,47194,38.11,35482,28.65,3586,2.90,,,37579,30.34,AL
1991,56,Rajshahi,Rajshahi-5,169405,130305,76.92,46116,35.39,48542,37.25,15241,11.70,19515,14.98,891,0.68,BNP
1991,57,Natore,Natore-1,108797,137712,126.58,40264,29.24,70646,51.30,7486,5.44,19114,13.88,202,0.15,BNP
1991,58,Natore,Natore-2,182779,134735,73.71,34882,25.89,25324,18.80,24331,18.06,32590,24.19,17608,13.07,AL
1991,59,Natore,Natore-3,152476,105942,69.48,36287,34.25,14049,13.26,14516,13.70,38138,36.00,2952,2.79,JIB
1991,60,Natore,Natore-4,210457,153351,72.87,54860,35.77,47566,31.02,19452,12.68,29249,19.07,2224,1.45,AL
1991,61,Sirajgonj,Sirajganj-1,,78853,,48338,61.30,26618,33.76,,,3444,4.37,453,0.57,AL
1991,62,Sirajgonj,Sirajganj-2,,142726,,42376,29.69,58437,40.94,2894,2.03,33881,23.74,5138,3.60,BNP
1991,63,Sirajgonj,Sirajganj-3,,120882,,41692,34.49,46101,38.14,,,25234,20.87,7855,6.50,BNP
1991,64,Sirajgonj,Sirajganj-4,,137297,,41292,30.07,45539,33.17,4016,2.93,41637,30.33,4813,3.51,BNP
1991,65,Sirajgonj,Sirajganj-5,,115218,,29342,25.47,39091,33.93,3755,3.26,31729,27.54,11301,9.81,BNP
1991,66,Sirajgonj,Sirajganj-6,,75386,,12468,16.54,15433,20.47,3212,4.26,10321,13.69,33952,45.04,Others
1991,67,Sirajgonj,Sirajganj-7,,107304,,28163,26.25,38678,36.05,,,,,40463,37.71,Others
