year,constituencyNumber,District,constituency,registeredVoters,validVotes,voterTurnout,awamiLeague,awamiLeaguePercentage,bangladeshNationalParty,bangladeshNationalPartyPercentage,jatiyaParty,jatiyaPartyPercentage,jamaatIslami,jamaatIslamiPercentage,others,othersPercentage,winner
1996,1,Panchaghar,Panchagarh-1,200457,162161,80.90,48012,29.61,57433,35.42,38085,23.49,16356,10.09,2275,1.40,BNP
1996,2,Panchaghar,Panchagarh-2,176454,135342,76.70,46815,34.59,48534,35.86,25630,18.94,12557,9.28,1806,1.33,BNP
1996,3,Thakurgaon,Thakurgaon-1,235750,182568,77.44,62709,34.35,58369,31.97,42609,23.34,17242,9.44,1639,0.90,AL
1996,4,Thakurgaon,Thakurgaon-2,151844,114409,75.35,48344,42.26,21314,18.63,28757,25.14,14933,13.05,1061,0.93,AL
1996,5,Thakurgaon,Thakurgaon-3,164879,127623,77.40,55953,43.84,9060,7.10,52342,41.01,8081,6.33,2187,1.71,AL
1996,6,Dinajpur,Dinajpur-1,189819,143893,75.81,60681,42.17,32437,22.54,29583,20.56,19463,13.53,1729,1.20,AL
1996,7,Dinajpur,Dinajpur-2,176430,143016,81.06,55551,38.84,24044,16.81,47611,33.29,13663,9.55,2147,1.50,AL
1996,8,Dinajpur,Dinajpur-3,193305,152285,78.78,49857,32.74,51802,34.02,34931,22.94,13396,8.80,2299,1.51,BNP
1996,9,Dinajpur,Dinajpur-4,193583,145254,75.03,59746,41.13,44394,30.56,10700,7.37,30040,20.68,374,0.26,AL
1996,10,Dinajpur,Dinajpur-5,228978,177285,77.42,71363,40.25,42811,24.15,49153,27.73,12827,7.24,1131,0.64,AL
1996,11,Dinajpur,Dinajpur-6,266251,206619,77.60,75268,36.43,62495,30.25,32352,15.66,33934,16.42,2570,1.24,AL
1996,12,Nilphamari,Nilphamari-1,203651,150558,73.93,47833,31.77,20672,13.73,60444,40.15,19137,12.71,2472,1.64,JP
1996,13,Nilphamari,Nilphamari-2,175307,135042,77.03,44560,33.00,11615,8.60,44999,33.32,32278,23.90,1590,1.18,JP
1996,14,Nilphamari,Nilphamari-3,163954,119853,73.10,34439,28.73,8702,7.26,35030,29.23,37546,31.33,4136,3.45,JIB
1996,15,Nilphamari,Nilphamari-4,180173,136362,75.68,41053,30.11,20780,15.24,57265,41.99,14043,10.30,3221,2.36,JP
