year,constituencyNumber,district,constituency,registeredVoters,validVotes,voterTurnout,fourPartyAlliance,fourPartyAlliancePercentage,awamiLeague,awamiLeaguePercentage,jatiyaParty,jatiyaPartyPercentage,others,othersPercentage,winner
2001,1,Panchaghar,Panchaghar1,240073,204818,85.31,81702,39.89,70164,34.26,50829,24.82,2123,1.04,4P
2001,2,Panchaghar,Panchaghar2,214252,182274,85.07,83653,45.89,79602,43.67,16357,8.97,2662,1.46,4P
2001,3,Thakurgaon,Thakurgaon1,286317,249144,87.02,134910,54.15,96948,38.91,16647,6.68,639,0.26,4P
2001,4,Thakurgaon,Thakurgaon2,183362,161128,87.87,57196,35.50,62483,38.78,16565,10.28,24884,15.44,AL
2001,5,Thakurgaon,Thakurgaon3,204246,178481,87.39,8359,4.68,78998,44.26,89468,50.13,1656,0.93,JP
2001,6,Dinajpur,Dinajpur1,231655,197374,85.2,88669,44.92,60197,30.50,40621,20.58,7887,4.00,4P
2001,7,Dinajpur,Dinajpur2,217515,186741,85.85,79490,42.57,71229,38.14,33280,17.82,2742,1.47,4P
2001,8,Dinajpur,Dinajpur3,237667,198271,83.42,102640,51.77,80814,40.76,13952,7.04,865,0.44,4P
2001,9,Dinajpur,Dinajpur4,240128,207161,86.27,108360,52.31,87351,42.17,8094,3.91,3356,1.62,4P
2001,10,Dinajpur,Dinajpur5,290056,244674,84.35,98883,40.41,105337,43.05,39709,16.23,745,0.30,AL
2001,11,Dinajpur,Dinajpur6,337962,278107,82.29,110598,39.77,88943,31.98,28801,10.36,49765,17.89,4P
2001,12,Nilphamari,Nilphamari1,256617,199987,77.93,59805,29.90,66871,33.44,65552,32.78,7759,3.88,AL
2001,13,Nilphamari,Nilphamari2,220149,183577,83.39,65835,35.86,69960,38.11,41227,22.46,6555,3.57,AL
2001,14,Nilphamari,Nilphamari3,205726,168754,82.03,64180,38.03,55043,32.62,44014,26.08,5517,3.27,4P
2001,15,Nilphamari,Nilphamari4,221819,172387,77.72,60199,34.92,57285,33.23,52732,30.59,2171,1.26,4P
2001,16,Lalmonirhat,Lalmonirhat1,225271,174296,77.37,48907,28.06,78116,44.82,44788,25.70,2485,1.43,AL
2001,17,Lalmonirhat,Lalmonirhat2,242258,175127,72.29,42298,24.15,14309,8.17,60468,34.53,58052,33.15,JP
2001,18,Lalmonirhat,Lalmonirhat3,187669,141148,75.21,63359,44.89,42912,30.40,33805,23.95,1072,0.76,4P
2001,19,Rangpur,Rangpur1,227907,174655,76.63,49278,28.21,47109,26.97,77812,44.55,456,0.26,JP
2001,20,Rangpur,Rangpur2,230570,188996,81.97,17788,9.41,78163,41.36,91921,48.64,1124,0.59,JP
2001,21,Rangpur,Rangpur3,288698,208872,72.35,22756,10.89,53748,25.73,130562,62.51,1806,0.86,JP
2001,22,Rangpur,Rangpur4,304207,245144,80.58,83825,34.19,66288,27.04,93631,38.19,1400,0.57,JP
2001,23,Rangpur,Rangpur5,282280,233833,82.84,53179,22.74,75608,32.33,101956,43.60,3090,1.32,JP
2001,24,Rangpur,Rangpur6,215564,174891,81.13,5237,2.99,77991,44.59,90730,51.88,933,0.53,JP
2001,25,Kurigram,Kurigram1,322442,253180,78.52,87157,34.42,75730,29.91,89073,35.18,1220,0.48,JP
2001,26,Kurigram,Kurigram2,340098,248275,73,15508,6.25,107398,43.26,123886,49.90,1483,0.60,JP
2001,27,Kurigram,Kurigram3,236501,168060,71.06,63582,37.83,34140,20.31,68579,40.81,1759,1.05,JP
2001,28,Kurigram,Kurigram4,212574,154391,72.63,43025,27.87,27856,18.04,62484,40.47,21026,13.62,JP
2001,29,Gaibandha,Gaibandha1,260131,184335,70.86,75478,40.95,46089,25.00,57048,30.95,5720,3.10,4P
2001,30,Gaibandha,Gaibandha2,245594,183897,74.88,29606,16.10,68598,37.30,67519,36.72,18174,9.88,AL
2001,31,Gaibandha,Gaibandha3,310543,241038,77.62,69022,28.64,76439,31.71,91109,37.80,4468,1.85,JP
2001,32,Gaibandha,Gaibandha4,291292,234510,80.51,96108,40.98,75106,32.03,63296,26.99,,,4P
2001,33,Gaibandha,Gaibandha5,249465,180680,72.43,9797,5.42,72804,40.29,93432,51.71,4647,2.57,JP
2001,34,Joypurhat,Joypurhat1,294487,250514,85.07,159830,63.80,80900,32.29,8074,3.22,1710,0.68,4P
2001,35,Joypurhat,Joypurhat2,227162,197112,86.77,113290,57.47,77508,39.32,5394,2.74,920,0.47,4P
2001,36,Bogra,Bogra1,275323,196989,71.55,120382,61.11,74622,37.88,1127,0.57,858,0.44,4P
