year,constituencyNumber,district,constituency,registeredVoters,validVotes,voterTurnout,fourPartyAlliance,fourPartyAlliancePercentage,mohajote,mohajotePercentage,awamiLeague,awamiLeaguePercentage,bangladeshNationalParty,bangladeshNationalPartyPercentage,jatiyaParty,jatiyaPartyPercentage,jamaatIslami,jamaatIslamiPercentage,others,othersPercentage,blank,winner
2008,1,Panchaghar,PANCHAGARH1,291096,267533,91.91,107726,40.27,156550,58.52,,,,,,,,,2536,0.95,721,MOHAJOTE
2008,2,Panchaghar,PANCHAGARH2,253651,236492,93.24,91700,38.78,142488,60.25,,,,,,,,,1657,0.7,647,MOHAJOTE
2008,3,Thakurgaon,THAKURGAON1,327677,301946,92.15,120411,39.88,177101,58.65,,,,,,,,,2444,0.81,1990,MOHAJOTE
2008,4,Thakurgaon,THAKURGAON2,218338,202744,92.86,98456,48.56,102833,50.72,,,,,,,,,1052,0.52,403,MOHAJOTE
2008,5,Thakurgaon,THAKURGAON3,236512,217013,91.76,46545,21.45,160107,73.78,,,,,,,,,9623,4.43,738,MOHAJOTE
2008,6,Dinajpur,DINAJPUR1,271928,253222,93.12,107168,42.32,143097,56.51,,,,,,,,,2494,0.98,463,MOHAJOTE
2008,7,Dinajpur,DINAJPUR2,246143,229422,93.21,89419,38.98,138152,60.22,,,,,,,,,985,0.43,866,MOHAJOTE
2008,8,Dinajpur,DINAJPUR3,280015,251335,89.76,107353,42.71,140934,56.07,,,,,,,,,1241,0.49,1807,MOHAJOTE
2008,9,Dinajpur,DINAJPUR4,273005,253494,92.85,79133,31.22,118188,46.62,,,,,,,,,55655,21.96,518,MOHAJOTE
2008,10,Dinajpur,DINAJPUR5,320997,293870,91.55,126529,43.06,164419,55.95,,,,,,,,,968,0.33,1954,MOHAJOTE
2008,11,Dinajpur,DINAJPUR6,374107,343744,91.88,132752,38.62,,,133610,38.87,,,75740,22.03,,,,,1642,AL
2008,12,Nilphamari,NILPHAMARI1,288474,259216,89.86,67190,25.92,179657,69.31,,,,,,,,,11772,4.54,597,MOHAJOTE
2008,13,Nilphamari,NILPHAMARI2,242701,220923,91.03,82324,37.26,135626,61.39,,,,,,,,,2198,0.99,775,MOHAJOTE
2008,14,Nilphamari,NILPHAMARI3,234752,214495,91.37,66849,31.17,145688,67.92,,,,,,,,,1549,0.72,409,MOHAJOTE
2008,15,Nilphamari,NILPHAMARI4,246093,207335,84.25,61087,29.46,,,87319,42.11,,,55547,26.79,,,2402,1.16,980,AL
2008,16,Lalmonirhat,LALMONIRHAT1,238508,220395,92.41,74219,33.68,142340,64.58,,,,,,,,,3183,1.44,653,MOHAJOTE
2008,17,Lalmonirhat,LALMONIRHAT2,268924,233996,87.01,61599,26.32,161677,69.09,,,,,,,,,9692,4.14,1028,MOHAJOTE
2008,18,Lalmonirhat,LALMONIRHAT3,198227,175365,88.47,74653,42.57,98217,56.01,,,,,,,,,2088,1.19,407,MOHAJOTE
2008,19,Rangpur,RANGPUR1,244960,209654,85.59,28270,13.48,168989,80.6,,,,,,,,,11365,5.42,1030,MOHAJOTE
2008,20,Rangpur,RANGPUR2,252893,221669,87.65,36586,16.5,166271,75.01,,,,,,,,,17027,7.68,1785,MOHAJOTE
2008,21,Rangpur,RANGPUR3,335732,271215,80.78,19640,7.24,239046,88.14,,,,,,,,,8535,3.15,3994,MOHAJOTE
2008,22,Rangpur,RANGPUR4,348927,292436,83.81,63999,21.88,,,118807,40.63,,,103643,35.44,,,5127,1.75,860,AL
2008,23,Rangpur,RANGPUR5,313815,284740,90.73,56053,19.69,,,124684,43.79,,,100348,35.24,,,2690,0.94,965,AL
2008,24,Rangpur,RANGPUR6,238891,214503,89.79,38672,18.03,170542,79.51,,,,,,,,,4005,1.87,1284,MOHAJOTE
2008,25,Kurigram,KURIGRAM1,364863,322033,88.26,92583,28.75,209899,65.18,,,,,,,,,18686,5.8,865,MOHAJOTE
2008,26,Kurigram,KURIGRAM2,330499,289473,87.59,52374,18.09,209505,72.37,,,,,,,,,26153,9.03,1441,MOHAJOTE
2008,27,Kurigram,KURIGRAM3,296657,250861,84.56,11590,4.62,187528,74.75,,,,,,,,,50544,20.15,1199,MOHAJOTE
2008,28,Kurigram,KURIGRAM4,229540,197189,85.91,42968,21.79,,,73913,37.48,,,53682,27.22,,,25949,13.16,677,AL
2008,29,Gaibandha,GAIBANDHA1,271623,234684,86.4,72093,30.72,160008,68.18,,,,,,,,,1785,0.76,798,MOHAJOTE
2008,30,Gaibandha,GAIBANDHA2,264176,222143,84.09,48682,21.91,166726,75.05,,,,,,,,,5093,2.29,1642,MOHAJOTE
2008,31,Gaibandha,GAIBANDHA3,327506,284803,86.96,76460,26.85,179095,62.88,,,,,,,,,28006,9.83,1242,MOHAJOTE
2008,32,Gaibandha,GAIBANDHA4,311933,279458,89.59,70111,25.09,,,145201,51.96,,,49040,17.55,,,14529,5.2,577,AL
2008,33,Gaibandha,GAIBANDHA5,250394,221125,88.31,27066,12.24,,,98461,44.53,,,94143,42.57,,,1024,0.46,431,AL
2008,34,Joypurhat,JOYPURHAT1,327792,299919,91.5,164820,54.95,130529,43.52,,,,,,,,,2725,0.91,1845,4P
2008,35,Joypurhat,JOYPURHAT2,251215,233219,92.84,116881,50.12,113721,48.76,,,,,,,,,1406,0.6,1211,4P
2008,36,Bogra,BOGRA1,277426,250164,90.17,121965,48.75,127000,50.77,,,,,,,,,687,0.27,512,MOHAJOTE
2008,37,Bogra,BOGRA2,243305,225158,92.54,134359,59.67,88977,39.52,,,,,,,,,970,0.43,852,4P
2008,38,Bogra,BOGRA3,235600,214105,90.88,104622,48.86,23995,11.21,,,,,,,,,84276,39.36,1212,4P
2008,39,Bogra,BOGRA4,253619,233249,91.97,131414,56.34,75991,32.58,,,,,,,,,25014,10.72,830,4P
2008,40,Bogra,BOGRA5,358796,329701,91.89,155325,47.11,171177,51.92,,,,,,,,,2260,0.69,939,MOHAJOTE
2008,41,Bogra,BOGRA6,314957,273122,86.72,193792,70.95,74634,27.33,,,,,,,,,2260,0.83,2436,4P
2008,42,Bogra,BOGRA7,371453,328545,88.45,232761,70.85,92833,28.26,,,,,,,,,1364,0.42,1587,4P
2008,43,Nawabganj,CHAPAI NABABGANJ1,329734,307337,93.21,116673,37.96,139308,45.33,,,,,,,,,49896,16.23,1460,MOHAJOTE
2008,44,Nawabganj,CHAPAI NABABGANJ2,290689,274638,94.48,121969,44.41,151085,55.01,,,,,,,,,916,0.33,668,MOHAJOTE
2008,45,Nawabganj,CHAPAI NABABGANJ3,297761,263217,88.4,,,112753,42.84,,,76178,28.94,,,72341,27.48,634,0.24,1311,MOHAJOTE
2008,46,Naogaon,NAOGAON1,313750,294975,94.02,111089,37.66,177251,60.09,,,,,,,,,5314,1.8,1321,MOHAJOTE
2008,47,Naogaon,NAOGAON2,262289,249995,95.31,97732,39.09,149480,59.79,,,,,,,,,1774,0.71,1009,MOHAJOTE
2008,48,Naogaon,NAOGAON3,313133,295282,94.3,115740,39.2,176562,59.79,,,,,,,,,1924,0.65,1056,MOHAJOTE
2008,49,Naogaon,NAOGAON4,234357,219821,93.8,92899,42.26,9427,4.29,,,,,,,,,117086,53.26,409,others
2008,50,Naogaon,NAOGAON5,253789,229297,90.35,90662,39.54,136643,59.59,,,,,,,,,435,0.19,1557,MOHAJOTE
